Año,Trimestre,Provincia,Accesos por cada 100 hogares,Banda ancha fija,Dial up,Total,HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,OTROS
2022,3,Buenos Aires,78.11,4715469,6199,4721668,29985,27709,290315,297915,267044,12419,3618689,65821
2022,3,Capital Federal,122.28,1545534,2145,1547679,5170,5742,34371,67829,51946,28692,1253105,105477
2022,3,Catamarca,65.33,70292,1,70293,710,3840,3107,5389,5099,3737,50298,2208
2022,3,Chaco,43.86,144141,5,144146,4610,9870,16782,18938,8049,15828,79390,3711
2022,3,Chubut,84.38,164874,904,165778,1090,1444,45707,3094,34682,15309,17563,20024
2022,3,Córdoba,88.31,1038600,68,1038668,990,11312,153324,111615,70989,27112,650344,13873
2022,3,Corrientes,48.21,144842,4,144846,670,3865,23427,23948,7776,21706,56950,7107
2022,3,Entre Ríos,63.67,268937,22,268959,1070,5549,47210,46855,18263,32021,102195,16759
2022,3,Formosa,43.76,68537,1,68538,970,3070,23538,19545,6194,5640,17704,5890
2022,3,Jujuy,58.91,118823,0,118823,580,1879,19135,15254,36083,5190,45895,0
2022,3,La Pampa,96.59,115921,171,116092,680,1887,61540,9653,11592,5609,22731,3012
2022,3,La Rioja,80.66,86860,4,86864,180,6890,2842,3375,24219,5331,50390,0
2022,3,Mendoza,51.03,288746,777,289523,1030,2953,44232,21977,48201,17243,150043,4771
2022,3,Misiones,51.82,182157,0,182157,510,3749,36628,20758,12676,19615,80330,835
2022,3,Neuquén,80.37,162693,468,163161,1340,9910,38485,1408,92,67,78713,14858
2022,3,Río Negro,67.98,160010,548,160558,1110,1221,32936,1786,27934,13629,42596,24271
2022,3,Salta,57.76,204536,5,204541,1140,149,32923,71199,5662,1001,85661,6491
2022,3,San Juan,50.8,103118,281,103399,240,2027,30324,11247,22157,678,19221,11619
2022,3,San Luis,81.74,121888,182,122070,600,3070,6563,20813,12061,67438,13,14815
2022,3,Santa Cruz,43.19,49312,198,49510,520,6841,12342,11313,11378,2333,4604,6470
